/* TID|System Type|Slot|Port|Time|in_octets|in_ok_packets|in_unicast_packets|in_non_unicast_packets|in_discard_packets|in_error_packets|in_broadcast_packets|in_multicast_packets|in_packets_64_octets|in_packets_65_to_127_octets|in_packets_128_to_255_octets|in_packets_256_to_511_octets|in_packets_512_to_1023_octets|in_packets_1024_to_1518_octets|in_packets_1519_to_max_octets|in_pause_packets|in_alignment_errors|in_fcs_errors|in_symbol_errors|out_octets|out_ok_packets|out_unicast_packets|out_non_unicast_packets|out_discard_packets|out_error_packets|out_broadcast_packets|out_multicast_packets|out_pause_packets|in_rate(Kbps)|out_rate(Kbps)|in_no_pkt_sec|out_no_pkt_sec|in_loss_ratio|out_loss_ratio|Date */
80C|APN80A|M03|P1|PM15M|87030555|862096|860930|1166|0|0|0|1166|411|861652|0|0|33|0|0|0|0|0|0|87474884|839359|838197|1162|0|0|0|1162|0|773|777|0|0|0.000000|0.000000|2020-06-03 00:00:00
80C|APN80A|M04|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|76047|1072|0|1072|0|0|0|1072|0|0|0|0|0|0|0.000000|2020-06-03 00:00:00
80C|APN80A|M04|P2|PM15M|76475|1076|0|1076|0|0|0|1076|0|1076|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-03 00:00:00
80C|APN80A|M06|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|83067|1162|0|1162|0|0|0|1162|0|0|0|0|0|0|0.000000|2020-06-03 00:00:00
80C|APN80A|M07|P1|PM15M|91995205|889538|888371|1167|0|0|0|1167|206|887511|1|1|5|1814|0|0|0|0|0|82004032|812275|811113|1162|0|0|0|1162|0|817|728|0|0|0.000000|0.000000|2020-06-03 00:00:00
80C|APN80A|M03|P1|PM1D|5397019938|53457806|53384988|72818|0|0|0|72818|25131|53430010|100|220|2227|118|0|0|0|0|0|5423144741|52046813|51973850|72963|0|0|1|72962|0|772|776|0|0|0.000000|0.000000|2020-06-03 00:00:00
80C|APN80A|M04|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4733491|66634|0|66634|0|0|0|66634|0|0|0|0|0|0|0.000000|2020-06-03 00:00:00
80C|APN80A|M04|P2|PM1D|4725659|66560|0|66560|0|0|0|66560|0|66560|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-03 00:00:00
80C|APN80A|M06|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5168887|72216|0|72216|0|0|0|72216|0|0|0|0|0|0|0.000000|2020-06-03 00:00:00
80C|APN80A|M07|P1|PM1D|5704773421|55159439|55086282|73157|0|0|1|73156|12814|55033123|148|321|518|112515|0|0|0|0|0|5085430050|50369712|50296691|73021|0|0|0|73021|0|816|728|0|0|0.000000|0.000000|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM15M|85185206|811578|810413|1165|0|0|0|1165|51|811496|0|0|33|0|0|0|0|0|0|95993432|889252|888085|1167|0|0|0|1167|0|757|853|0|0|0.000000|0.000000|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM15M|85249239|812236|811074|1162|0|0|0|1162|26|812210|0|0|0|0|0|0|0|0|0|95550038|889497|888330|1167|0|0|0|1167|0|757|849|0|0|0.000000|0.000000|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM1D|8163584501|77771613|77659131|112482|0|0|0|112482|4241|77763275|125|384|3447|141|0|0|0|0|0|9205870181|85296921|85183784|113137|13|0|1|113136|0|755|852|0|0|0.000000|0.000000|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM1D|8169486369|77832891|77719987|112904|0|0|0|112904|2540|77829332|189|437|288|106|0|0|0|0|0|9164504538|85313426|85200246|113180|20|0|1|113179|0|756|848|0|0|0.000000|0.000000|2020-06-03 00:00:00
