/* TID|System Type|Slot|Time|Max|Min|Average|Date */
80C|APN80A|MMA|PM15M|43.000000|43.000000|43.000000|2020-06-03 00:00:00
80C|APN80A|M03|PM15M|43.500000|43.500000|43.500000|2020-06-03 00:00:00
80C|APN80A|MXCA|PM15M|41.500000|41.500000|41.500000|2020-06-03 00:00:00
80C|APN80A|M04|PM15M|41.500000|41.500000|41.500000|2020-06-03 00:00:00
80C|APN80A|M06|PM15M|45.500000|45.500000|45.500000|2020-06-03 00:00:00
80C|APN80A|M07|PM15M|41.500000|41.500000|41.500000|2020-06-03 00:00:00
80C|APN80A|MMA|PM1D|43.000000|39.500000|41.104401|2020-06-03 00:00:00
80C|APN80A|M03|PM1D|43.500000|39.500000|41.717098|2020-06-03 00:00:00
80C|APN80A|MXCA|PM1D|41.500000|38.000000|39.676399|2020-06-03 00:00:00
80C|APN80A|M04|PM1D|41.500000|38.500000|40.036499|2020-06-03 00:00:00
80C|APN80A|M06|PM1D|45.500000|41.500000|43.560101|2020-06-03 00:00:00
80C|APN80A|M07|PM1D|41.500000|38.500000|39.808300|2020-06-03 00:00:00
20B_X|APN20B|SXC|PM15M|59.000000|59.000000|59.000000|2020-06-03 00:00:00
20B_X|APN20B|SCE|PM15M|59.000000|59.000000|59.000000|2020-06-03 00:00:00
20B_X|APN20B|SXC|PM1D|59.000000|54.000000|56.057999|2020-06-03 00:00:00
20B_X|APN20B|SCE|PM1D|59.000000|54.000000|56.057999|2020-06-03 00:00:00
